,cant_carga,total_trips,demanda,latitude,longitude
99,0,0,0,-12.0844992158266,-77.0797621265887
100,0,0,0,-12.0844794982748,-77.07961591689
101,0,0,0,-12.0844966449021,-77.0796163403192
102,0,0,0,-12.0852771013311,-77.080179306955
103,0,2,0,-12.0897421454178,-77.0782601256841
104,0,2,0,-12.0897421454178,-77.0782601256841
105,0,0,0,-12.0840963578902,-77.0776509427339
106,0,0,0,-12.0748984764391,-77.0816918089986
107,0,0,0,-12.110343271458,-77.045743378472
108,0,0,0,-12.0814122826424,-77.0952158421278
109,0,0,0,-12.0814122826424,-77.0952158421278
110,0,0,0,-12.0814122826424,-77.0952158421278
111,0,0,0,-12.0791792858941,-77.0774133503437
112,10,2,20,-12.0794582885615,-77.0836065709591
113,20,3,60,-12.0755135375943,-77.0773724466562
114,0,0,0,-12.0736975293979,-77.0825916901231
115,20,3,60,-12.075410918214,-77.0765523612499
116,60,2,120,-12.0807401889721,-77.0819928869605
117,25,1,25,-12.0812932730081,-77.0821246504784
118,0,2,0,-12.0821807623128,-77.0812395215034
119,0,0,0,-12.0827676117698,-77.0801931247115
120,0,0,0,-12.0833856054775,-77.0789777487516
121,0,0,0,-12.0838203312307,-77.0781016722322
122,25,1,25,-12.0833751143495,-77.0777724310756
123,40,3,120,-12.0852235136098,-77.0753698423505
124,0,0,0,-12.0845015968654,-77.0767776668072
125,0,0,0,-12.0846215886119,-77.0763880759478
126,8,1,8,-12.0869686294665,-77.0733658969402
127,0,3,0,-12.0842721312875,-77.0797674035835
128,0,0,0,-12.0844376643407,-77.0797455520991
129,0,0,0,-12.0852771013311,-77.080179306955
130,0,2,0,-12.0897421454178,-77.0782601256841
131,0,0,0,-12.0847266603815,-77.0798553062646
132,0,7,0,-12.0844992158266,-77.0797621265887
133,0,0,0,-12.0831993933527,-77.0790225576565
134,0,0,0,-12.0840963578902,-77.0776509427339
135,0,1,0,-12.0844330415233,-77.0773549629808
136,0,0,0,-12.0821956149268,-77.0761589395497
137,0,7,0,-12.0816656386309,-77.0766245465046
138,0,0,0,-12.0844966449021,-77.0796163403192
139,0,3,0,-12.0844794982748,-77.07961591689
140,0,0,0,-12.0846215886119,-77.0763880759478
141,0,0,0,-12.0845015968654,-77.0767776668072
142,40,3,120,-12.0852235136098,-77.0753698423505
143,25,1,25,-12.0833751143495,-77.0777724310756
144,8,1,8,-12.0869686294665,-77.0733658969402
145,0,0,0,-12.0838203312307,-77.0781016722322
146,0,0,0,-12.0833856054775,-77.0789777487516
147,0,0,0,-12.0827676117698,-77.0801931247115
148,0,2,0,-12.0821807623128,-77.0812395215034
149,25,1,25,-12.0812932730081,-77.0821246504784
150,60,2,120,-12.0807401889721,-77.0819928869605
151,20,3,60,-12.075410918214,-77.0765523612499
152,0,0,0,-12.0736975293979,-77.0825916901231
153,10,2,20,-12.0794582885615,-77.0836065709591
154,0,0,0,-12.0791792858941,-77.0774133503437
155,0,3,0,-12.0844794982748,-77.07961591689
156,0,0,0,-12.0844966449021,-77.0796163403192
157,0,0,0,-12.1103500507194,-77.0246821269393
158,0,0,0,-12.1098452156417,-77.0235381647944
159,0,0,0,-12.1100343650002,-77.0220418274403
160,10,1,10,-12.1099904377781,-77.0215908810496
161,5,3,15,-12.109594436823,-77.020547837019
162,0,0,0,-12.1089201192759,-77.0204653590918
163,0,0,0,-12.1089974839424,-77.0203151553869
164,0,0,0,-12.1089997786567,-77.0202883332968
165,0,0,0,-12.1089168411115,-77.0202802866697
166,0,0,0,-12.1099694576098,-77.0204080268741
167,10,4,40,-12.1099471661791,-77.0201921090484
