ID,0,1,2,3,4
"0",0,14796.4958218806,20432.0360794486,4542.38046825271,10981.9468753577
"1",14796.4958218806,0,20786.5744665275,12292.933693382,8404.68398141046
"2",20432.0360794487,20786.5744665274,0,22986.4344851187,13243.7784271399
"3",4542.38046825265,12292.9336933821,22986.4344851187,0,11362.4913253212
"4",10981.9468753579,8404.68398141046,13243.7784271399,11362.4913253212,0
