,latitude,longitude,cluster_index,cluster_name,demand
0,-12.082195614926801,-77.0761589395497,3,down,9166
1,-12.074928639385801,-77.081605643034,0,3,down
2,-12.075107321989698,-77.08752058446409,0,3,down
3,-12.074957698215101,-77.087570933103,0,3,down
4,-12.074957698215101,-77.087570933103,0,3,down
5,-12.075014866051701,-77.08749476820229,0,3,down
6,-12.0742759253268,-77.087381297604,0,3,down
7,-12.074056133103198,-77.0870886423751,0,3,down
8,-12.0740270280984,-77.0870957896113,0,3,down
9,-12.073857196977999,-77.0868996530771,0,3,down
10,-12.071220210766802,-77.0901702716947,180,3,down
11,-12.071293749138901,-77.09030705747871,0,3,down
12,-12.071220210766802,-77.0901702716947,180,3,down
13,-12.0716624970991,-77.0892526209354,0,3,down
14,-12.071866099383199,-77.0894246175885,0,3,down
15,-12.0702838334392,-77.0943538472056,150,3,down
16,-12.0645497717363,-77.10409280880421,0,3,down
17,-12.0645497717363,-77.10409280880421,200,3,down
18,-12.070217277083001,-77.0943444594741,0,3,down
19,-12.0679714002008,-77.1039276570082,0,3,down
20,-12.0641730385836,-77.0996649563313,0,3,down
21,-12.064216317586201,-77.1010657399893,0,3,down
22,-12.0643763186867,-77.10291914641859,0,3,down
23,-12.064449106041,-77.1035021916032,0,3,down
24,-12.0761349297116,-77.0831563994462,0,3,down
25,-12.0685891001863,-77.10298854857679,0,3,down
26,-12.0895049767681,-77.0473922231021,150,3,down
27,-12.0751135512893,-77.0874096080661,0,3,down
28,-12.0896052,-77.049238,20,3,down
29,-12.0918812,-77.05159870000001,8,3,down
30,-12.097626999031801,-77.0455595199736,0,3,down
31,-12.0976574672499,-77.0455623698207,70,3,down
32,-12.0962958196266,-77.05165915468571,5600,3,down
33,-12.096242434356501,-77.05181325792991,0,3,down
34,-12.0958796842873,-77.05267929865809,10,3,down
35,-12.0966984,-77.05352409999999,280,3,down
36,-12.096929800000002,-77.05355259999999,100,3,down
37,-12.0969909,-77.05351920000001,0,3,down
38,-12.106220529033502,-77.05634055221459,20,3,down
39,-12.089404519658599,-77.0472885389598,10,3,down
40,-12.0745945517754,-77.08230067044501,0,3,down
41,-12.089529661473,-77.0475570113184,26,3,down
42,-12.0894624386095,-77.047624485639,0,3,down
43,-12.092076764526999,-77.04745596844059,0,3,down
44,-12.097271145332698,-77.0456849970641,10,3,down
45,-12.0966274989882,-77.0536649041595,0,3,down
46,-12.0965181151518,-77.05628818839509,0,3,down
47,-12.096647406008199,-77.0561128389808,20,3,down
48,-12.096845135104001,-77.0565315150442,0,3,down
49,-12.092891936201699,-77.0565514639738,16,3,down
50,-12.1009689476454,-77.05495890237121,600,3,down
51,-12.101124725315799,-77.0540503040674,700,3,down
52,-12.075063373552402,-77.08754503613659,0,3,down
53,-12.0751135512893,-77.0874096080661,0,3,down
54,-12.082195614926801,-77.0761589395497,0,3,down
55,-12.0814122826424,-77.0952158421278,0,3,down
56,-12.083199393352698,-77.0790225576565,0,3,down
57,-12.0847266603815,-77.07985530626459,0,3,down
58,-12.0844992158266,-77.0797621265887,0,3,down
59,-12.083199393352698,-77.0790225576565,0,3,down
60,-12.084096357890198,-77.07765094273391,0,3,down
61,-12.084433041523301,-77.07735496298079,0,3,down
62,-12.082195614926801,-77.0761589395497,0,3,down
63,-12.0816656386309,-77.07662454650459,0,3,down
64,-12.084496644902101,-77.0796163403192,0,3,down
65,-12.084479498274801,-77.07961591689,0,3,down
66,-12.0846215886119,-77.0763880759478,0,3,down
67,-12.084501596865401,-77.0767776668072,0,3,down
68,-12.085223513609801,-77.0753698423505,120,3,down
69,-12.0897421454178,-77.0782601256841,0,3,down
70,-12.0833751143495,-77.07777243107559,25,3,down
71,-12.0838203312307,-77.0781016722322,0,3,down
72,-12.0833856054775,-77.0789777487516,0,3,down
73,-12.0827676117698,-77.0801931247115,0,3,down
74,-12.0821807623128,-77.0812395215034,0,3,down
75,-12.081293273008098,-77.0821246504784,25,3,down
76,-12.080740188972099,-77.08199288696049,120,3,down
