,latitude,longitude,cluster_index,cluster_name,demand
0,-12.2234858,-76.95025550000001,1,center,7432
1,-12.225393400000002,-76.9592172,0,1,center
2,-12.224895199999999,-76.9568571,0,1,center
3,-12.2249634,-76.9572334,0,1,center
4,-12.225678599999998,-76.9583803,210,1,center
5,-12.2255094,-76.9591011,0,1,center
6,-12.224843400000001,-76.9607608,210,1,center
7,-12.2271259,-76.9607725,210,1,center
8,-12.2258759,-76.9573462,0,1,center
9,-12.238405499999999,-76.955978,0,1,center
10,-12.2255094,-76.95936979999999,0,1,center
11,-12.2270075,-76.95829570000001,60,1,center
12,-12.226814300000001,-76.9594855,50,1,center
13,-12.2216929,-76.9453385,0,1,center
14,-12.2220915,-76.9457556,0,1,center
15,-12.2224387,-76.9461948,0,1,center
16,-12.221191099999999,-76.9448967,0,1,center
17,-12.2223132,-76.9461452,20,1,center
18,-12.222373199999998,-76.9466319,0,1,center
19,-12.2209061,-76.9449675,0,1,center
20,-12.2216959,-76.94751590000001,40,1,center
21,-12.221843,-76.9475059,30,1,center
22,-12.222935099999999,-76.9487072,18,1,center
23,-12.2233976,-76.9502258,0,1,center
24,-12.2234858,-76.95025550000001,60,1,center
25,-12.2245356,-76.9497021,60,1,center
26,-12.2245545,-76.9496316,100,1,center
27,-12.223346699999999,-76.94841540000002,0,1,center
28,-12.2270171,-76.9603377,40,1,center
29,-12.219552900000002,-76.9446728,10,1,center
30,-12.2244384,-76.9580274,40,1,center
31,-12.226019,-76.9573603,180,1,center
32,-12.2260989,-76.9574796,1960,1,center
33,-12.225899499999999,-76.957287,0,1,center
34,-12.227097099999998,-76.9578208,0,1,center
35,-12.226846,-76.9580354,220,1,center
36,-12.226781599999999,-76.9606913,400,1,center
37,-12.2197176,-76.94491540000001,36,1,center
38,-12.2261795,-76.9586618,0,1,center
39,-12.2272784,-76.95798190000001,5,1,center
40,-12.230889999999999,-76.96677,512,1,center
41,-12.227034399999999,-76.9582524,0,1,center
42,-12.226402400000001,-76.9581852,0,1,center
43,-12.225943,-76.95722059999999,120,1,center
44,-12.2244652,-76.9579873,0,1,center
45,-12.2263805,-76.9586638,108,1,center
46,-12.2138046,-76.93557609999999,20,1,center
47,-12.2130552,-76.9429582,0,1,center
48,-12.211613999999999,-76.94309770000001,0,1,center
49,-12.213318899999999,-76.9425769,20,1,center
50,-12.2125308,-76.9412375,0,1,center
51,-12.2365133,-76.96124040000001,0,1,center
52,-12.235886099999998,-76.9608995,0,1,center
53,-12.2382188,-76.9564767,0,1,center
54,-12.223180000000001,-76.97934000000001,20,1,center
55,-12.221960000000001,-76.97573,0,1,center
56,-12.22297,-76.97525999999999,540,1,center
57,-12.227780000000001,-76.97404,0,1,center
58,-12.22739,-76.97384,0,1,center
59,-12.2268,-76.97345,800,1,center
60,-12.22521,-76.97292,20,1,center
61,-12.228110000000001,-76.96965,0,1,center
62,-12.22891,-76.96959,0,1,center
63,-12.2115067,-76.93886859999999,0,1,center
64,-12.216676300000001,-76.9349354,0,1,center
65,-12.2156501,-76.93506670000001,0,1,center
66,-12.2135028,-76.9432817,0,1,center
67,-12.236151699999999,-76.961844,4,1,center
68,-12.2265733,-76.9711879,0,1,center
69,-12.225954,-76.971784,0,1,center
70,-12.2150964,-76.9389741,0,1,center
71,-12.2148659,-76.93798699999999,0,1,center
72,-12.2145006,-76.9382098,0,1,center
73,-12.2117642,-76.9392962,0,1,center
74,-12.212850900000001,-76.9414218,60,1,center
75,-12.2129532,-76.9425132,0,1,center
76,-12.2140054,-76.9436027,0,1,center
77,-12.2120591,-76.94516109999999,0,1,center
78,-12.2146782,-76.93855009999999,0,1,center
79,-12.2276285,-76.9740302,0,1,center
80,-12.2173573,-76.9407967,20,1,center
81,-12.2180499,-76.94343409999999,0,1,center
82,-12.218706599999999,-76.94377340000001,0,1,center
83,-12.2186369,-76.9444391,0,1,center
84,-12.212423199999998,-76.94644559999999,0,1,center
85,-12.211653,-76.94443570000001,0,1,center
86,-12.211788400000001,-76.9443781,300,1,center
