,latitude,longitude,cluster_index,cluster_name,demand
101,-12.118393957303901,-77.02506221683241,250,0,down
102,-12.118377010334699,-77.0250789992041,480,0,down
103,-12.1183093505653,-77.0250941528222,600,0,down
104,-12.1183308852279,-77.0250889659362,420,0,down
105,-12.1183546940275,-77.0255713263243,40,0,down
106,-12.118641834547999,-77.0254090236231,350,0,down
107,-12.118425018511902,-77.0252891776766,140,0,down
108,-12.118382657991098,-77.025101926831,350,0,down
109,-12.1179627350455,-77.02494990378891,70,0,down
110,-12.118429993731802,-77.0251120494561,420,0,down
111,-12.118548209786802,-77.02462313688521,160,0,down
112,-12.1184634597422,-77.0244951750676,560,0,down
113,-12.118400020278198,-77.0239138239082,400,0,down
114,-12.117589533024399,-77.0248627539598,20,0,down
115,-12.117929605333199,-77.02474833898509,0,0,down
116,-12.118443992923998,-77.02477275166109,15,0,down
117,-12.1184193019644,-77.02521740952099,5,0,down
118,-12.118424028076598,-77.0253256319515,0,0,down
119,-12.1183856511346,-77.02542657789608,0,0,down
120,-12.1183265956933,-77.02562075691871,0,0,down
121,-12.118447590863399,-77.0257243488855,8,0,down
122,-12.118477474851401,-77.02570775144041,5,0,down
123,-12.1185852054861,-77.02565181967749,0,0,down
124,-12.1186456899212,-77.025340190562,0,0,down
125,-12.118901027680002,-77.02531958070729,50,0,down
126,-12.118828592310601,-77.02494288269149,0,0,down
127,-12.1190193256531,-77.02453483257909,60,0,down
128,-12.118965066336902,-77.0245614426374,300,0,down
129,-12.118370579139302,-77.0246832349838,0,0,down
130,-12.1184162308475,-77.02436973041891,0,0,down
131,-12.1184434451901,-77.0242770065085,0,0,down
132,-12.1183582497756,-77.024075282023,0,0,down
133,-12.1181047485625,-77.02500192306991,350,0,down
134,-12.154816211633198,-77.0213094108442,0,0,down
135,-12.118127235033901,-77.0249688720707,210,0,down
136,-12.118075239984801,-77.0248208076341,700,0,down
137,-12.154741314063198,-77.02084288001059,45,0,down
138,-12.146711382094901,-77.0202890877398,60,0,down
